"Movie_ID","Movie","Release_date","Distributor","MPAA_rating","Runtime","Production_budget","Genre1","Genre2","Genre3","imdb.com_rating","Country","Opening_revenues","Opening_screens","Opening_revenues_indexed","Opening_screens_indexed","Opening_revenues_indexed_transformed","Opening_screens_indexed_transformed"
178,"Haywire","1/20/2012","Rela.","R",93,23,"Short","Thriller"," ",7.2,"USA",8425370,2439,0.04061619,0.553814714,-3.162124455,0.216095874
179,"Heaven is for Real","4/16/2014","TriS","PG",100,12,"Drama"," "," ",5.8,"Netherlands",NA,NA,NA,NA,NA,NA
179,"Heaven is for Real","4/16/2014","TriS","PG",100,12,"Drama"," "," ",5.8,"USA",22522221,2417,0.184763397,0.558973173,-1.484402307,0.236995775
180,"Hercules (2014)","7/25/2014","Par.","PG-13",98,100,"Action","Adventure"," ",6.1,"Netherlands",478241,75,0.207532948,0.331858407,-1.339860819,-0.699791723
180,"Hercules (2014)","7/25/2014","Par.","PG-13",98,100,"Action","Adventure"," ",6.1,"USA",29800263,3595,0.244469577,0.831406105,-1.128329179,1.595625538
181,"Here Comes the Boom","10/12/2012","Sony","PG",105,NA,"Action","Comedy","Sport",6.5,"Netherlands",NA,NA,NA,NA,NA,NA
181,"Here Comes the Boom","10/12/2012","Sony","PG",105,NA,"Action","Comedy","Sport",6.5,"USA",11816596,3014,0.056964277,0.684377838,-2.806679814,0.773964353
182,"Hes Just Not That Into You;2/6/2009;WB (NL);PG-13;129; ;Comedy;Drama;Romance;6.4;UnitedKingdom;2828591;375;0.087548695;0.642123288;-2.343939567;0.584591774

182;Hes Just Not That Into You","2/6/2009","WB (NL)","PG-13",129,NA,"Comedy","Drama","Romance",6.4,"USA",27785487,3175,0.194522927,0.734104046,-1.420884707,1.01554569
183,"Hit and Run","8/22/2012","ORF","R",100,2,"Action","Comedy","Romance",6.1,"Netherlands",121062,50,0.031815161,0.180505415,-3.415480088,-1.512927012
183,"Hit and Run","8/22/2012","ORF","R",100,2,"Action","Comedy","Romance",6.1,"USA",4526222,2870,0.021819563,0.651680291,-3.802887187,0.626433327
184,"Hop","4/1/2011","Uni.","PG",90,63,"Animation","Adventure","Comedy",5.5,"Netherlands",173689,104,0.045234232,0.43697479,-3.049611907,-0.253448901
184,"Hop","4/1/2011","Uni.","PG",90,63,"Animation","Adventure","Comedy",5.5,"USA",37543710,3579,0.221903405,0.818057143,-1.254608498,1.503239525
185,"Horrible Bosses","7/8/2011","WB (NL)","R",100,35,"Comedy","Crime"," ",6.9,"Netherlands",516359,84,0.134476579,0.352941176,-1.861944383,-0.606135804
185,"Horrible Bosses","7/8/2011","WB (NL)","R",100,35,"Comedy","Crime"," ",6.9,"USA",28302165,3040,0.167280932,0.694857143,-1.605021707,0.822926224
186,"Horrible Bosses 2","11/26/2014","WB","R",108,42,"Comedy","Crime"," ",6.3,"Netherlands",NA,100,NA,0.442477876,NA,-0.231111721
186,"Horrible Bosses 2","11/26/2014","WB","R",108,42,"Comedy","Crime"," ",6.3,"USA",15457418,3375,0.126806547,0.78052729,-1.929494458,1.268741805
187,"Hot Tub Time Machine","3/26/2010","MGM","R",100,36,"Comedy","Sci-Fi"," ",6.4,"Netherlands",NA,NA,NA,NA,NA,NA
187,"Hot Tub Time Machine","3/26/2010","MGM","R",100,36,"Comedy","Sci-Fi"," ",6.4,"USA",14020502,2754,0.109430461,0.616383169,-2.096571905,0.47422458
188,"Hotel for Dogs","1/16/2009","P/DW","PG",100,NA,"Comedy","Family"," ",5.4,"Netherlands",172681,60,0.048384313,0.25,-2.978985616,-1.098612289
188,"Hotel for Dogs","1/16/2009","P/DW","PG",100,NA,"Comedy","Family"," ",5.4,"USA",17012212,3271,0.119100496,0.756300578,-2.000975912,1.132503298
189,"How Do You Know","12/17/2010","Sony","PG-13",116,120,"Comedy","Drama","Romance",5.3,"Netherlands",NA,NA,NA,NA,NA,NA
189,"How Do You Know","12/17/2010","Sony","PG-13",116,120,"Comedy","Drama","Romance",5.3,"USA",7484696,2483,0.058418289,0.555729633,-2.779932133,0.223848592
190,"Hugo","11/23/2011","Par.","PG",127,NA,"Adventure","Drama","Family",7.6,"Netherlands",265215,52,0.069070561,0.218487395,-2.601054874,-1.274502955
190,"Hugo","11/23/2011","Par.","PG",127,NA,"Adventure","Drama","Family",7.6,"USA",11364505,1277,0.067170303,0.291885714,-2.630991428,-0.886243165
191,"I Am Number Four","2/18/2011","BV","PG-13",104,60,"Action","Adventure","Sci-Fi",6.1,"Netherlands",532716,81,0.138736471,0.340336134,-1.82582429,-0.661796651
191,"I Am Number Four","2/18/2011","BV","PG-13",104,60,"Action","Adventure","Sci-Fi",6.1,"USA",19449893,3154,0.11495927,0.720914286,-2.041055776,0.949001293
192,"I Love You Beth Cooper","7/10/2009","Fox","PG-13",102,18,"Comedy","Romance"," ",5.3,"Netherlands",NA,NA,NA,NA,NA,NA
192,"I Love You Beth Cooper","7/10/2009","Fox","PG-13",102,18,"Comedy","Romance"," ",5.3,"USA",4919433,1858,0.034440372,0.429595376,-3.333478381,-0.283502197
193,"Identity Thief","2/8/2013","Uni.","R",111,35,"Comedy","Crime"," ",5.7,"Netherlands",173591,54,0.071540787,0.213438735,-2.563258724,-1.304320778
193,"Identity Thief","2/8/2013","Uni.","R",111,35,"Comedy","Crime"," ",5.7,"USA",34551025,3141,0.198404246,0.738537503,-1.396297841,1.038381025
194,"If I Stay","8/22/2014","WB","PG-13",106,11,"Drama","Fantasy","Music",6.8,"Netherlands",173102,41,0.075117709,0.181415929,-2.510610139,-1.506783758
194,"If I Stay","8/22/2014","WB","PG-13",106,11,"Drama","Fantasy","Music",6.8,"USA",15679190,2907,0.128625876,0.672294172,-1.913163411,0.718579661
195,"Immortals","11/11/2011","Rela.","R",110,75,"Action","Drama","Fantasy",6.1,"Netherlands",582351,75,0.15166303,0.31512605,-1.721616777,-0.776262087
195,"Immortals","11/11/2011","Rela.","R",110,75,"Action","Drama","Fantasy",6.1,"USA",32206425,3112,0.190357196,0.711314286,-1.447690878,0.901775763
196,"In Time","10/28/2011","Fox","PG-13",109,40,"Action","Sci-Fi","Thriller",6.7,"Netherlands",318083,63,0.082839098,0.264705882,-2.404382776,-1.021651248
196,"In Time","10/28/2011","Fox","PG-13",109,40,"Action","Sci-Fi","Thriller",6.7,"USA",12050368,3122,0.07122412,0.7136,-2.568035941,0.912933146
197,"Inception","7/16/2010","WB","PG-13",148,160,"Action","Mystery","Sci-Fi",8.8,"Netherlands",1329772,101,0.43697638,0.420833333,-0.253442436,-0.319353416
197,"Inception","7/16/2010","WB","PG-13",148,160,"Action","Mystery","Sci-Fi",8.8,"USA",62785337,3792,0.490041537,0.84870188,-0.039839121,1.724455787
198,"Inglourious Basterds","8/21/2009","Wein.","R",152,70,"Adventure","Drama","War",8.3,"Netherlands",1138925,78,0.319120827,0.325,-0.757815064,-0.730887509
198,"Inglourious Basterds","8/21/2009","Wein.","R",152,70,"Adventure","Drama","War",8.3,"USA",38054676,3165,0.266416311,0.731791908,-1.01288152,1.00373305
199,"Inkheart","1/23/2009","WB (NL)","PG",106,60,"Adventure","Family","Fantasy",6.1,"Netherlands",24177,38,0.006774269,0.158333333,-4.987826507,-1.670681538
199,"Inkheart","1/23/2009","WB (NL)","PG",106,60,"Adventure","Family","Fantasy",6.1,"USA",7601379,2655,0.05321636,0.613872832,-2.878704722,0.463621028
